esperimento	video	risoluzione	calcolo mm / px	risultato	frames video	video con tracciato rosso	coordinate file .txt	coordinate file .txt 1^ correzione	coordinate file .txt 2^ correzione	peso ragno gr	addome cm	cefalotorace cm	zampa cm	nota	umidità %	temperatura °C	speed mean	speed SD	speed median	total cum distance	smoothed speed mean	smoothed speed SD	smoothed speed median	total cum dist smoothed	acceleration mean	acceleration SD	speed median	smoothed acceleration mean	smoothed acceleration SD	smoothed speed median	number of activity periods
A_031_29_ago		1280x720	355/669	0,5306		https://drive.google.com/file/d/1-hwDQFP2zEzQ1F_ync3HBVeBAePEbd18/view?usp=sharing	https://drive.google.com/file/d/1W0i85Q8GEIroshMsmnva2T5P-p03MDQH/view?usp=sharing			0,86	1,41	0,72	3,43		67	27,8	9.260606463	13.95085683	5.22580395	28883.83156	9.275475773	8.800491574	6.809231908	28883.83156	9.717452544	13.63919461	5.714736893	9.733060403	9.028762021	7.632116129	425
A_032_6_set		1280x720	355/631	0,5626		https://drive.google.com/file/d/1A7CHp6-g2urCd-T3NaEaRAJWWn5VO1Tk/view?usp=sharing	https://drive.google.com/file/d/1NO7fRgsD8XcLOYdbV8dYYLPoLMmANhqa/view?usp=sharing			0,45	1,10	0,48	2,43		66	25,4	8.58972819	13.99634215	4.095789824	62911.16926	8.595606175	7.64101931	5.569294354	62911.24159	9.264780718	14.41904752	5.032047377	9.271150385	8.299061776	6.653385871	1173
A_032_18_set		1280x720	355/659	0,5387		https://drive.google.com/file/d/13upaGOrcYlw_7A9nLVzU8wO23E-AyxlC/view?usp=sharing	https://drive.google.com/file/d/16-BwBloJRcei_wsE6QzgAb5u7WszZ8q2/view?usp=sharing			0,41	1,10	0,50	2,42		70	26,2	7.032965967	12.79606432	2.6935	63585.04531	7.036640814	8.260251518	5.444315526	63583.0864	7.186021405	12.29409812	2.900988282	7.189537445	8.433927737	5.322802567	1032
A_035_3_set		1280x720	355/596	0,5956		https://drive.google.com/file/d/1sVEsvG24kb7Us7HIFZSzJYhwFuc8yUnx/view?usp=sharing	https://drive.google.com/file/d/16TW-FEfMuH949g2j785AcyIpSfOPSysK/view?usp=sharing	https://drive.google.com/file/d/1O-PaFv8eJ_Ob_eJpuWtMjkPzGr3CrM1N/view?usp=sharing		0,55	1,22	0,72	3,11		61	27,3	6.520985881	10.52785845	3.472914949	40097.54218	6.506961385	3.541007675	4.883985513	39978.77075	6.613791601	10.27755404	3.622893363	6.602785151	6.832660031	5.064839641	777
A_035_27_set	https://drive.google.com/file/d/1_s1ZfXs39saGEMud9spvqe5qy1RygV3E/view?usp=sharing	1920x1080	355/941	0,3773		https://drive.google.com/file/d/1-uYek9ZZ_jOZLTj2QsXWtTAqlg9uVDHP/view?usp=sharing	https://drive.google.com/file/d/1psyQyWtsICy98nenFY9uaFgdx8n-KAMB/view?usp=sharing			0,32	1,22	0,55	2,51		60	25,2	3.516255849	4.963230787	1.923860062	34824.99792	3.51425726	3.541007675	2.917059069	34787.63261	3.812619724	4.626572733	2.6411	3.809822513	3.2818199	3.699228285	1000
A_039_5_set		1280x720	355/605	0,5868		https://drive.google.com/file/d/1UGORE4JgfXrYJj7duZ3HOMTAfCB-xx0r/view?usp=sharing	https://drive.google.com/file/d/1iGBhbPrt7sTZ0CS-MCBRVsx5dMBHpVrg/view?usp=sharing			0,13	1,11	0,63	2,43		53	26,0	3.624112385	8.073560154	0	40220.39925	3.623442825	5.493065285	0.2259749717	40194.91328	3.651689337	7.771160313	0	3.651103171	5.397018528	0.3955145926	888
A_039_16_set		1280x720	355/617	0,5754		https://drive.google.com/file/d/1O5kLagqWfbu4831fXwU83O8wbjwTka75/view?usp=sharing	https://drive.google.com/file/d/1IF6qgeuIOB6JcQbRA1PmqQHyKhoRWk-s/view?usp=sharing			0,45	1,21	0,45	2,43	l'add aumentando copre la sup del torace	66	26,2	6.216547659	10.85787955	3.09862383	44641.02874	6.220879144	6.966702563	4.737300114	44641.02874	6.230358736	9.906090519	3.4524	6.234700449	6.501598354	5.114218212	970
A_041_25_set	https://drive.google.com/file/d/1OyFyb7SVca6fO3kA0cXWbWMPMQ2Fr82L/view?usp=sharing	1920x1080	355/975	0,3641		https://drive.google.com/file/d/1raSWVeRsUgOShYH2qDq4bqV2P9h46CWR/view?usp=sharing	https://drive.google.com/file/d/1EtHQLMUtk3037JseSh48cpotQbX75zwS/view?usp=sharing			0,60	1,46	0,69	2,14	l'aumento dell'add può coprire le zampe	59	24,8	5.036502923	6.71976383	3.089490948	19073.23657	5.043073921	4.072721016	4.04912222	19072.90557	5.75249625	6.976975566	4.070761753	5.760015816	4.264594386	5.195749826	548
A_041_31_ago		1280x720	355/652	0,5445		https://drive.google.com/file/d/1MrIFPIu5_znpn-V9PVbWppVELdJs7jyu/view?usp=sharing	https://drive.google.com/file/d/118_K8PYt5Gm8u3l3nYFDUk9xfgMeBGFz/view?usp=sharing		https://drive.google.com/file/d/1QjKLa9e3b5bZsmlPJ-x9VHiMAciYatrn/view?usp=sharing	0,41	1,01	0,45	2,52		67	27,8	9.57751104	12.59448885	5.684746894	48222.76809	9.571189436	7.222039477	6.976062235	48143.08286	9.765411442	12.42322244	6.087695069	9.761100738	7.447409982	7.601862162	933
A_046_30_ago		1280x720	355/599	0,5927		https://drive.google.com/file/d/1woQPyNBlBXTQesodHAs0S6JcD97XCp-F/view?usp=sharing	https://drive.google.com/file/d/1-HnuGqyXn75dE275hDYM6_83vsslSdTK/view?usp=sharing			0,44	1,11	0,52	2,72		67	27,8	4.598314297	8.674074469	1.32531749	34501.15217	4.601380658	5.548180019	3.480168633	34501.15217	5.005848388	9.619900208	1.874281969	5.009186956	6.134417566	3.856031002	769
A_050_2_set		1280x720	355/607	0,5848		https://drive.google.com/file/d/1Qt22nDi1eSggSCb1vrPsm0OfUUpPoQQ0/view?usp=sharing	https://drive.google.com/file/d/1oD9z0hojh6-9rHhFkZAFY36Il_xx3Uy1/view?usp=sharing			0,26	0,98	0,51	2,22		66	27,2	8.345006899	12.90430451	4.453704112	39730.57784	8.353170381	7.758144082	5.898161423	39728.92487	8.769061686	12.95553586	4.714808331	8.777436398	8.171544926	6.538204365	798
A_050_27_set	https://drive.google.com/drive/folders/1ZvZw3LnuvkjnqcldyPnJ2ino3d7i1OkU?usp=sharing	1920x1080	355/918	0,3867		https://drive.google.com/file/d/1GUPYpsxGuTu5tSqL_CgLwUl9cgdcNbHh/view?usp=sharing	https://drive.google.com/file/d/12E3oc1xJviFEZTQ_UXicAn-oxAcwEVy_/view?usp=sharing			0,27	1,11	0,57	2,13		60	25,8	5.217472334	8.8089776	2.3202	47364.21384	5.220241112	5.060179303	3.305797047	47363.24761	5.519389042	8.993572233	2.445705542	5.522321041	5.526765439	3.61786752	1034
A_052_1_set		1280x720	355/650,2	0,5459		https://drive.google.com/file/d/1IftbW1pOt3Ld4-tk_ejpG5Srz2EQjH7A/view?usp=sharing	https://drive.google.com/file/d/1nQ5BZow2I6X011VpYkDtdXz9xFuOpi0q/view?usp=sharing	https://drive.google.com/file/d/12gLW_zQJSs8kj5TMiHyievABVNn2-sCB/view?usp=sharing	https://drive.google.com/file/d/1l3NVkeIQfpmFICBqHFZwr4EMK01dyGQ6/view?usp=sharing	0,32	1,00	0,48	2,52		66	28,2	9.422777572	14.01503948	4.943334747	45455.47901	9.432554266	7.917778037	6.400056572	45455.47901	9.64684348	14.23837163	5.178862124	9.656854734	8.519730941	6.82894352	816
A_052_17_set		1280x720	355/655,1	0,5419		https://drive.google.com/file/d/1eS4_1J99YoM8y-SMumA_3s3-wdW8vyKl/view?usp=sharing	https://drive.google.com/file/d/18bp_24ela29yuCYq7zG6jSUlpTd4smOh/view?usp=sharing			0,54	1,18	0,51	2,74		68,5	26,2	9.284935434	13.4218557	4.907113206	38708.89582	9.295053075	7.648766121	6.258741705	38704.601	8.97566852	12.6660387	4.907113206	8.98504619	7.703732036	6.367069922	693
A_056_14_ott	https://drive.google.com/drive/folders/1CTbA277bqGN3n07KY40MKCH9RCma_T3S?usp=sharing	1280x720	355/642	0,5529	https://drive.google.com/drive/folders/1qXCL-oN8hsQlCmL2c4ZRq5nqCoBzBgm_?usp=sharing	https://drive.google.com/file/d/1d8ySwsgPegKC44IGgqzJZRRG4RR-sgzy/view?usp=sharing	https://drive.google.com/file/d/1ItwwuqcgTtsvMf1s6ySSy0xEBIE778vf/view?usp=sharing			0,35	1,00	0,47	2,44		71,5	24,4	7.316987282	12.22091487	3.540287391	68757.72949	7.320460083	7.566814041	4.778601132	68753.7611	8.248652049	11.79265037	4.945287939	8.252512657	7.660824279	6.128643536	1514
A_056_17_ott	https://drive.google.com/drive/folders/1vJpkdf3LBKouw6iB4-EMh2nCkNeuwf7x?usp=sharing	1280x720	355/625,1	0,5679		https://drive.google.com/file/d/1zCIXIHZt1ZsEqZfVEujiLH97mMaKr43X/view?usp=sharing	https://drive.google.com/file/d/1okj4vEV-dGF41NPkUcXLwyOGRwnvJcoR/view?usp=sharing			0,39	1,00	0,47	2,44		61,5	23,7	7.386323754	10.9571996	4.324997547	50263.93314	7.391074516	6.369983584	5.17756749	50259.30671	8.532189039	10.52982439	5.707324365	8.536772951	6.47972487	6.683669237	1253
B_002_6_nov		1280x720	355/630	0,5634		https://drive.google.com/file/d/1iYYnzkghcTUeScMT8Msdnkpq2Q1HZM8p/view?usp=sharing	https://drive.google.com/file/d/1gayAxnymbQ42v3zsCHzO71M1hl-xDsFt/view?usp=sharing			0,21	0,81	0,40	2,21		55	21,8	5.715811498	8.657682066	3.034001852	61805.06973	5.71849129	5.479776595	4.033219375	61805.45387	5.914058605	8.696276739	3.563254467	5.916830367	5.386152206	4.622639879	1400
B_002_17_ott	https://drive.google.com/drive/folders/1nKhWx1L3UOupvzjkDT6QjgXlpUTMS_w6?usp=sharing	1280x720	355/643,2	0,5519		https://drive.google.com/file/d/1rL3GoNAV4_OPUcZ7dRqzK2Im6Y1EsimI/view?usp=sharing	https://drive.google.com/file/d/1Id9JkhVIDIdQI38e74CTi7gcUVZcyfW9/view?usp=sharing			0,25	0,94	0,43	2,10		65	25,6	5.076486232	9.451794639	1.6557	80178.02355	5.077251018	6.287720762	3.608418599	80164.71633	5.553464935	9.222242376	2.275541995	5.554036342	6.502744808	4.43471474	1800
B_003_11_set	https://drive.google.com/drive/folders/1By1LG5CGfQjCwxZ83219cv1JyuCI9NfA?usp=sharing	1280x720	355/647,2	0,5485	https://drive.google.com/drive/folders/1NPYm8LK9SI2bTTxAzawjtP9biQv1T3Jr?usp=sharing	https://drive.google.com/file/d/1QeoaAZMfIZqrW1AkbyAcfUdjxQ5Ix9gL/view?usp=sharing	https://drive.google.com/file/d/1xfKdqzZQfgE3QqeOK2KTdFuCRuc7q6j3/view?usp=sharing			0,37	1,03	0,44	2,25		56	27,0	6.580828445	10.31977845	3.512113644	48342.76576	6.571889624	5.945418637	4.977213955	48244.24173	7.278273188	9.947651513	4.686386054	7.259571056	5.849889338	6.186965224	1231
B_003_12_set	https://drive.google.com/drive/folders/1cGRpSBcQaP5pNjl89jK4IigIeJLPxkUL?usp=sharing	1280x720	355/664	0,5346	https://drive.google.com/drive/folders/1bb03HF_ObB8FYWqgEPlejODVq9-regrC?usp=sharing	https://drive.google.com/file/d/1SXj1hNdipfITEEnCj8aW1p0Wm372WsSL/view?usp=sharing	https://drive.google.com/file/d/1ifs4dZb-tmFhO7ftyBGmhVws3I--E0rv/view?usp=sharing			0,37	1,03	0,44	2,25		62	24,9	6.299988993	9.382157881	3.2076	27808.15142	6.302503579	6.039865214	4.683025594	27787.73828	6.912222167	9.310709962	4.071392302	6.914363354	6.115953528	5.591766002	648
